Questions,A,B,C,D,Correct Option
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
