Questions,A,B,C,D,Correct Option
That a driver SWERVES in order to avoid an accident can be proven by examining the marks on the pavements. (The capitalized word nearly means),Stops quickly,Turns sharply,Hits something else,Goes backward,B
"Choose the synonym for the word ""ABRIDGE""",To make a bridge,Shorten,Magnify,Divert,B
It is general perception that doctors have a CALLOUS disregard for feeling of others. (The capitalized word nearly means ) ,Respectable,Careful,Unfeeling,Sensitive,C
A THRIFTY buyer purchases fruits and vegetables in season. (The capitalized word nearly means),Careful,Professional,Disinterested,Interested,A
They left their homeland to another country in the hope of securing a better future for their families.,Emigrants,Immigrants,Migrants,Strollers,A
The young lady was attracting a lot of negative attention at the party because she was wearing silver grown.,Grim,Garnish,Gaudy,Gob smacked,C
My dog happily _______ itself under the table and chewed contentedly at a piece of bone.,Eclipsed,Elucidated,Exhumed,Ensconced,D
To join the great majority means:,To accept a challange and get ready for a fight,To die,To supprt the views of majority,To falsify an account in order to deceive,B
"The word ""LABYRINTH means:",Maze,Heap,Hive,Knack,A
"Find out antonym of ""Mumbled""",Unprovoked,Quiver,Loud,Rarely,C
The word closest in meaning to Empathy is ________.,Harshness,Compassion,Cruelty,Charity,B
Varacity most closely refers to:,Actuality,Mistake,Denial,Huge,A
"Spot the error  ""General Foods, the maker of Cheeios have developed a new cereal with chocolate puffs.""",Foods,have,cereal,puffs,A
"Spot the error ""In every cell of your body except your red blood cells exist a copy of your DNA, which is complete information of your being.""",except,exist,which,being,A
"Spot the error ""Not only the brave commander but also the determined soldiers with all force was fighting courageously enough to halt the enemy.""",also,determined soldiers,was,enough,C
"Spot the error ""Only Mr. Steward's name and telephone number was printed on the card.",Only,Steward's,was,on the card,C
"Spot the error ""I have been in contact with a wonderful band who are very keen to come to Lahore and wants to show their expertise.""",have,in contact with,who are,wants to show,B
"Spot the error ""Sindbad, one of the famous characters of the Arabian Nights, which were translated by Antoine Galland, was a merchant-seafarer.""",famous characters,were,was,merchant-seafarer,A
"Spot the error ""One third of their highway patrol vehicles is unmarked, and most of the marked cars don't have a roof rack.""",One third,is,don't have a,roof rack,B
"Spot the error ""For him, walking a short distance of two kilometers were a very pleasant activity he always looked forward to.""",For,of,were,to,D
"Spot the error ""The homeless is often stereotyped as being tramps or junkies who litter shop doorways.",The homeless,os,who,litter,C
"Spot the error ""Those boxes have unbroken lids, but they need to have its lids replaced.""",Those,have unbroken,they,its,A
"Spot the error ""A teacher should carefully choose professional development opportunities that address their gaps in knowledge.""",A teacher,that,their,in,C
"Spot the error ""The car whose color is black belongs to the boy whom father met you yesterday on the Mall.""",whose,belongs to,whom,on,B
"Spot the error ""Outdoor toilets were common, much of them situated where human wastes drained into wells from which people obtained drinking water.""",Outdoor toilets,much of them,into,from which people,A
"Spot the error ""Some two thousand million years ago this rare event had taken place, and that another star, wandering blindly through space, happened to come near the sun.""",thousand million years,had taken,wandering blindly,happened to come,D
"Spot the error ""Whatever my father wanted me to see were on top of the highest point of my farm.""",Whatever,wanted me,to see,were,C
Choose the correct sentence.,"Not only have our ways of livings changed, but people themselves have also been changed.","Not only have our ways of living changed, but people themselves have been changed.","Not only our ways of living have changed, but people themselves have also been changed.","Not only have our ways of living changed, but people themselves have also been changed.",D
Choose the correct sentence.,"Even though Ali has many friends who love their Toyota and Honda, he believes that General Motors is at the top of the heap.","Even though Ali has many friends who love their Toyota and Honda, he believes that General Motors are at the top of the heap.","Even though Ali has many friends who loves their Toyota and Honda, he believes that General Motors are at the top of the heap.","Even though Ali has many friends who loves their Toyota and Honda, he believes that General Motors is at the top of the heap.",A
Choose the correct sentence.,"For the most part, each star make its voyage in complete loneliness, like a ship on an empty ocean.","For the most part, each star makes their voyage in complete loneliness, like a ship on an empty ocean.","For the most part, each star makes its voyage in complete loneliness, as a ship on an empty ocean.","For the most part, each star makes its voyage in complete loneliness, like a ship on an empty ocean.",D
Choose the correct sentence.,"Even though the jury believes that the defendant did not fed David, much of the evidence points to her guilt.","Even though the jury believes that the defendant did not feed David, much of the evidence point to her guilt.","Even though the jury believe that the defendant did not fed David, much of the evidence points to her guilt.","Even though the jury believe that the defendant did not feed David, much of the evidence points to her guilt.",D
Choose the correct sentence.,We see that two-thirds of the students go down with German measles and Big Hall is turned into a hospital ward,We see that two-thirds of the students goes down with German measles and Big Hall is turned into a hospital ward,We see that two-thirds of the students go down with German measles and Big Hall turned into a hospital ward,We see that two-third of the students go down with German measles and Big Hall is turned into a hospital ward,A
Choose the correct sentence.,Neither the students nor their instructor are happy with the long cafeteria line for squid eyeball stew.,Neither the students or their instructor is happy with the long cafeteria line for squid eyeball stew.,Neither the students nor their instructor is happy with the long cafeteria line for squid eyeball stew.,Neither the students nor his instructor is happy with the long cafeteria line for squid eyeball stew.,C
Choose the correct sentence.,"Mr Ali, our English teacher, believes that students who major in economics or physics ruin their imaginations.","Mr Ali, our English teacher, believe that students who major in economics or physics ruin their imaginations.","Mr Ali, our English teacher believes that students who majors in economics or physics ruin their imaginations.","Mr Ali, our English teacher, believes that students who major in economics or physics ruins their imaginations.",A
Choose the correct sentence.,"A smart tennis player, such as Sania, is someone who know how to move around the court, and controls her emotions.","A smart tennis player, such as Sania, is someone who knows how to move around the court, and control her emotions.","A smart tennis player, such as Sania, is someone who knows how to move around the court, and controls her emotions.","A smart tennis player, such as Sania, is someone who knows how to move around the court, and controls their emotions.",B
Choose the correct sentence.,"Palm-trees that once lifted its branches high above the dunes is now like bushes, and some of them are completely covered.","Palm-trees that once lifted theirs branches high above the dunes are now like bushes, and some of them are complete covered.","Palm-trees that once lifted their branches high above the dunes are now like bushes, and some of they is completely covered.","Palm-trees that once lifted their branches high above the dunes are now like bushes, and some of them are completely covered.",D
Choose the correct sentence.,One of my friends serves as a representative for his dormitory floor.,One of my friend serves as a representative for his dormitory floor.,One of my friends serve as a representative for his dormitory floor.,One of my friends serves as a representative for their dormitory floor.,A
Choose the correct sentence.,Two-fifth of the vineyard was destroyed by fire.,Two-fifths of the vineyard was destroyed by fire.,Two-fifths of the vineyard were destroyed by fire.,Two-fifths of the vineyard was destroyed to fire.,B
Choose the correct sentence.,Forty percent of the student body is in favor of changing the policy.,Forty percent of the students cody is in favor of changing the policy.,Forty percent of the student body are in favor of changing the policy.,Forty percent of the student bodies is in favor of changing the policy.,A
Choose the correct sentence.,He is one of the employees who work overtime regular.,He is one of the employee who work overtime regularly.,He is the only one of the employees who works overtime regularly.,He is one of the employees who works overtime regularly.,C
Choose the correct sentence.,A small minority indicates that it support the proposal.,A small minority indicates that their supports the proposal.,A small minority indicate that it supports the proposal.,A small minority indicates that it supports the proposal.,D
Choose the correct sentence.,The herd of black and white cattle bellowed loudly as the cowboys herded it into the expansive pen.,The herd of black and white cattle bellowed loudly as the cowboys herded them into the expansive pen.,The herd of black and white cattle bellowed loudly like the cowboys herded it into the expansive pen.,The herds of black and white cattle bellowed loudly as the cowboys herded it into the expansive pen.,A
